,lambda,lr,precision,accuracy,recall,f1_score
0,1,0.001,0.3939393939393939,0.5046728971962616,0.2826086956521739,0.3291139240506329
0,2,0.001,0.47058823529411764,0.5607476635514018,0.17391304347826086,0.25396825396825395
0,3,0.001,0.5925925925925926,0.616822429906542,0.34782608695652173,0.4383561643835616
0,4,0.001,0.5714285714285714,0.5794392523364486,0.08695652173913043,0.15094339622641512
0,5,0.001,0.6363636363636364,0.6261682242990654,0.30434782608695654,0.411764705882353
0,1,0.002,0.37777777777777777,0.4672897196261682,0.3695652173913043,0.37362637362637363
0,2,0.002,0.6923076923076923,0.6635514018691588,0.391304347826087,0.5
0,3,0.002,0.40540540540540543,0.5046728971962616,0.32608695652173914,0.3614457831325302
0,4,0.002,0.3673469387755102,0.4485981308411215,0.391304347826087,0.37894736842105264
0,5,0.002,0.3333333333333333,0.4485981308411215,0.2826086956521739,0.30588235294117644
0,1,0.003,0.45,0.5514018691588785,0.1956521739130435,0.2727272727272727
0,2,0.003,0.6285714285714286,0.6542056074766355,0.4782608695652174,0.54320987654321
0,3,0.003,0.75,0.6822429906542056,0.391304347826087,0.5142857142857143
0,4,0.003,0.6785714285714286,0.6635514018691588,0.41304347826086957,0.5135135135135135
0,5,0.003,0.43548387096774194,0.4953271028037383,0.5869565217391305,0.5
0,1,0.004,0.3584905660377358,0.42990654205607476,0.41304347826086957,0.38383838383838387
0,2,0.004,0.29411764705882354,0.37383177570093457,0.32608695652173914,0.30927835051546393
0,3,0.004,0.43283582089552236,0.48598130841121495,0.6304347826086957,0.5132743362831859
0,4,0.004,0.4492753623188406,0.5046728971962616,0.6739130434782609,0.5391304347826086
0,5,0.004,0.3698630136986301,0.3925233644859813,0.5869565217391305,0.453781512605042
0,1,0.005,0.49056603773584906,0.5607476635514018,0.5652173913043478,0.5252525252525252
0,2,0.005,0.3918918918918919,0.4205607476635514,0.6304347826086957,0.4833333333333334
0,3,0.005,0.4155844155844156,0.4485981308411215,0.6956521739130435,0.5203252032520326
0,4,0.005,0.5660377358490566,0.6355140186915887,0.6521739130434783,0.6060606060606061
0,5,0.005,0.4659090909090909,0.514018691588785,0.8913043478260869,0.6119402985074627
0,1,0.006,0.42105263157894735,0.48598130841121495,0.5217391304347826,0.46601941747572817
0,2,0.006,0.43373493975903615,0.4672897196261682,0.782608695652174,0.558139534883721
0,3,0.006,0.4146341463414634,0.4392523364485981,0.7391304347826086,0.53125
0,4,0.006,0.4125,0.4392523364485981,0.717391304347826,0.5238095238095237
0,5,0.006,0.3723404255319149,0.34579439252336447,0.7608695652173914,0.5
0,1,0.007,0.46808510638297873,0.514018691588785,0.9565217391304348,0.6285714285714286
0,2,0.007,0.43010752688172044,0.4485981308411215,0.8695652173913043,0.5755395683453238
0,3,0.007,0.4155844155844156,0.4485981308411215,0.6956521739130435,0.5203252032520326
0,4,0.007,0.4375,0.4766355140186916,0.7608695652173914,0.5555555555555556
0,5,0.007,0.5238095238095238,0.5981308411214953,0.717391304347826,0.6055045871559633
0,1,0.008,0.41414141414141414,0.411214953271028,0.8913043478260869,0.5655172413793104
0,2,0.008,0.41836734693877553,0.4205607476635514,0.8913043478260869,0.5694444444444445
0,3,0.008,0.3855421686746988,0.3925233644859813,0.6956521739130435,0.49612403100775204
0,4,0.008,0.3655913978494624,0.3364485981308411,0.7391304347826086,0.48920863309352525
0,5,0.008,0.42105263157894735,0.42990654205607476,0.8695652173913043,0.5673758865248227
